Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,1.75,0.11,3.4,20000,2,0,default
2,1.74,0.11,3.38,20000,2,0,default
4,1.76,0.11,3.41,20000,2,0,default
8,1.75,0.11,3.39,20000,2,0,default
16,1.76,0.11,3.41,20000,2,0,default
32,1.89,0.11,3.67,20000,2,0,default
64,2.26,0.11,4.41,20000,2,0,default
128,1.86,0.12,3.61,20000,2,0,default
256,2.41,0.56,4.27,20000,2,0,default
512,2.43,0.37,4.5,20000,2,0,default
1024,2.96,0.96,4.95,20000,2,0,default
2048,3.59,3.17,4.0,20000,2,0,default
4096,4.43,4.29,4.57,20000,2,0,default
8192,5.2,5.12,5.29,20000,2,0,default
16384,5.85,5.76,5.95,20000,2,0,default
32768,8.07,7.78,8.36,20000,2,0,default
65536,12.26,10.76,13.76,20000,2,0,default
131072,17.47,15.97,18.96,20000,2,0,default
262144,28.07,26.58,29.56,20000,2,0,default
524288,49.51,48.0,51.02,20000,2,0,default
1,0.83,0.54,0.96,20000,4,0,default
2,0.83,0.53,0.96,20000,4,0,default
4,0.83,0.55,0.96,20000,4,0,default
8,0.83,0.54,0.96,20000,4,0,default
16,0.82,0.54,0.96,20000,4,0,default
32,0.92,0.7,1.09,20000,4,0,default
64,1.27,0.89,1.81,20000,4,0,default
128,0.98,0.8,1.16,20000,4,0,default
256,1.41,1.19,1.7,20000,4,0,default
512,1.64,1.33,1.99,20000,4,0,default
1024,2.02,1.62,2.44,20000,4,0,default
2048,1.83,1.01,2.67,20000,4,0,default
4096,2.44,1.13,3.69,20000,4,0,default
8192,3.8,1.11,6.11,20000,4,0,default
16384,5.63,4.41,7.45,20000,4,0,default
32768,8.14,4.84,10.94,20000,4,0,default
65536,12.41,6.11,16.65,20000,4,0,default
131072,22.81,12.11,28.57,20000,4,0,default
262144,43.86,25.55,53.04,20000,4,0,default
524288,84.93,51.04,99.9,20000,4,0,default
1,2.12,0.62,3.64,20000,8,0,default
2,2.12,0.62,3.64,20000,8,0,default
4,2.14,0.62,3.67,20000,8,0,default
8,2.01,0.15,3.92,20000,8,0,default
16,2.09,0.15,3.99,20000,8,0,default
32,2.18,0.16,4.21,20000,8,0,default
64,2.73,0.62,4.88,20000,8,0,default
128,2.52,0.75,4.31,20000,8,0,default
256,3.06,1.19,4.95,20000,8,0,default
512,3.25,1.34,5.19,20000,8,0,default
1024,3.68,1.62,5.83,20000,8,0,default
2048,3.49,0.87,6.14,20000,8,0,default
4096,4.02,0.5,7.82,20000,8,0,default
8192,5.0,0.64,9.41,20000,8,0,default
16384,9.64,4.54,16.17,20000,8,0,default
32768,10.11,4.95,18.4,20000,8,0,default
65536,15.76,7.28,30.21,20000,8,0,default
131072,28.89,13.2,53.51,20000,8,0,default
262144,55.98,24.55,100.07,20000,8,0,default
524288,114.94,60.07,192.83,20000,8,0,default
1,2.7,0.91,4.47,20000,16,0,default
2,2.64,0.83,4.38,20000,16,0,default
4,2.72,0.93,4.48,20000,16,0,default
8,2.69,0.87,4.53,20000,16,0,default
16,2.69,0.91,4.44,20000,16,0,default
32,2.76,0.87,4.61,20000,16,0,default
64,2.97,0.66,5.23,20000,16,0,default
128,3.18,1.18,5.19,20000,16,0,default
256,3.87,1.22,6.83,20000,16,0,default
512,4.08,1.37,7.05,20000,16,0,default
1024,4.5,1.41,7.61,20000,16,0,default
2048,4.6,1.78,7.47,20000,16,0,default
4096,6.4,2.24,10.95,20000,16,0,default
8192,9.04,3.56,15.02,20000,16,0,default
16384,15.22,5.32,25.59,20000,16,0,default
32768,22.32,8.51,37.83,20000,16,0,default
65536,41.25,14.19,68.31,20000,16,0,default
131072,77.34,20.85,130.39,20000,16,0,default
262144,156.49,33.13,256.35,20000,16,0,default
