Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,1.76,0.11,3.42,30000,2,2,binomial
2,1.76,0.11,3.41,30000,2,2,binomial
4,1.76,0.11,3.4,30000,2,2,binomial
8,1.79,0.11,3.47,30000,2,2,binomial
16,1.78,0.11,3.45,30000,2,2,binomial
32,1.84,0.11,3.58,30000,2,2,binomial
64,2.27,0.11,4.42,30000,2,2,binomial
128,2.3,0.12,4.49,30000,2,2,binomial
256,2.79,0.55,5.03,30000,2,2,binomial
512,2.86,0.57,5.15,30000,2,2,binomial
1024,3.0,0.61,5.39,30000,2,2,binomial
2048,3.1,0.21,5.98,30000,2,2,binomial
4096,3.53,0.26,6.81,30000,2,2,binomial
8192,4.17,0.43,7.91,30000,2,2,binomial
16384,4.43,0.99,7.86,30000,2,2,binomial
32768,6.15,1.95,10.35,30000,2,2,binomial
65536,8.97,3.82,14.12,30000,2,2,binomial
131072,15.25,8.09,22.4,30000,2,2,binomial
262144,34.76,33.24,36.27,30000,2,2,binomial
524288,63.82,62.29,65.35,30000,2,2,binomial
1,0.97,0.61,1.32,30000,4,2,binomial
2,0.97,0.59,1.32,30000,4,2,binomial
4,0.97,0.59,1.32,30000,4,2,binomial
8,0.98,0.64,1.32,30000,4,2,binomial
16,1.05,0.76,1.32,30000,4,2,binomial
32,1.42,1.06,1.8,30000,4,2,binomial
64,1.44,1.06,1.84,30000,4,2,binomial
128,1.56,1.14,2.01,30000,4,2,binomial
256,1.68,1.16,2.2,30000,4,2,binomial
512,1.82,1.23,2.4,30000,4,2,binomial
1024,2.26,1.08,3.4,30000,4,2,binomial
2048,2.68,1.1,4.22,30000,4,2,binomial
4096,3.27,1.19,5.28,30000,4,2,binomial
8192,3.72,1.78,5.55,30000,4,2,binomial
16384,5.72,2.86,8.44,30000,4,2,binomial
32768,9.37,5.35,13.23,30000,4,2,binomial
65536,16.65,10.35,22.76,30000,4,2,binomial
131072,49.41,39.47,59.13,30000,4,2,binomial
262144,96.39,81.23,111.71,30000,4,2,binomial
524288,189.17,163.17,215.39,30000,4,2,binomial
1,2.12,0.57,3.65,30000,8,2,binomial
2,2.1,0.57,3.62,30000,8,2,binomial
4,2.11,0.57,3.63,30000,8,2,binomial
8,2.29,0.57,3.91,30000,8,2,binomial
16,2.33,0.58,4.05,30000,8,2,binomial
32,2.39,0.58,4.15,30000,8,2,binomial
64,2.92,1.09,4.79,30000,8,2,binomial
128,3.06,1.15,5.03,30000,8,2,binomial
256,3.27,1.2,5.5,30000,8,2,binomial
512,3.36,0.77,5.97,30000,8,2,binomial
1024,3.93,0.86,7.03,30000,8,2,binomial
2048,4.68,1.09,8.26,30000,8,2,binomial
4096,5.52,1.65,9.37,30000,8,2,binomial
8192,7.62,2.89,12.34,30000,8,2,binomial
16384,11.5,5.53,17.41,30000,8,2,binomial
32768,18.99,10.74,27.14,30000,8,2,binomial
65536,50.56,40.71,60.84,30000,8,2,binomial
131072,110.13,93.02,125.24,30000,8,2,binomial
262144,206.07,187.09,223.17,30000,8,2,binomial
524288,375.22,365.1,387.78,30000,8,2,binomial
1,2.63,0.78,4.4,30000,16,2,binomial
2,2.69,0.82,4.49,30000,16,2,binomial
4,2.74,0.78,4.67,30000,16,2,binomial
8,2.8,0.77,4.76,30000,16,2,binomial
16,2.84,0.89,4.72,30000,16,2,binomial
32,3.43,1.36,5.49,30000,16,2,binomial
64,3.68,1.49,5.84,30000,16,2,binomial
128,3.96,1.56,6.39,30000,16,2,binomial
256,4.16,1.21,7.16,30000,16,2,binomial
512,4.93,1.49,8.38,30000,16,2,binomial
1024,6.1,2.17,10.08,30000,16,2,binomial
2048,8.46,3.51,13.36,30000,16,2,binomial
4096,11.43,6.11,16.74,30000,16,2,binomial
8192,17.81,11.48,24.06,30000,16,2,binomial
16384,30.48,22.3,38.65,30000,16,2,binomial
32768,65.31,58.3,71.99,30000,16,2,binomial
65536,98.72,90.99,107.46,30000,16,2,binomial
131072,210.41,192.98,230.04,30000,16,2,binomial
262144,417.79,392.19,432.63,30000,16,2,binomial
524288,932.95,843.35,1003.25,30000,16,2,binomial
1,3.12,0.9,5.22,30000,32,2,binomial
