Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,1.7,0.1,3.3,50,2,0,default
2,1.74,0.11,3.38,50,2,0,default
4,1.71,0.1,3.31,50,2,0,default
8,1.71,0.11,3.32,50,2,0,default
16,1.72,0.11,3.33,50,2,0,default
32,1.89,0.11,3.68,50,2,0,default
64,2.24,0.11,4.38,50,2,0,default
128,1.79,0.12,3.47,50,2,0,default
256,2.46,0.69,4.22,50,2,0,default
512,2.4,0.37,4.43,50,2,0,default
1024,2.97,0.96,4.98,50,2,0,default
2048,3.62,3.26,3.97,50,2,0,default
4096,4.4,4.29,4.51,50,2,0,default
8192,5.38,5.16,5.6,50,2,0,default
16384,7.31,7.04,7.57,50,2,0,default
32768,10.48,9.58,11.38,50,2,0,default
65536,15.12,13.48,16.76,50,2,0,default
131072,21.22,19.58,22.86,50,2,0,default
262144,38.31,36.8,39.81,50,2,0,default
524288,53.22,51.66,54.79,50,2,0,default
1048576,95.58,94.11,97.05,50,2,0,default
1,0.93,0.64,1.08,50,4,0,default
2,0.81,0.49,0.97,50,4,0,default
4,0.83,0.53,0.99,50,4,0,default
8,0.95,0.63,1.13,50,4,0,default
16,0.81,0.52,0.96,50,4,0,default
32,0.87,0.58,1.02,50,4,0,default
64,1.4,0.89,1.95,50,4,0,default
128,1.48,1.32,1.64,50,4,0,default
256,1.87,1.65,2.19,50,4,0,default
512,1.81,1.57,2.13,50,4,0,default
1024,2.21,1.81,2.62,50,4,0,default
2048,2.23,1.3,2.97,50,4,0,default
4096,3.15,1.69,4.46,50,4,0,default
8192,5.22,1.99,7.76,50,4,0,default
16384,7.17,5.33,9.22,50,4,0,default
32768,11.28,7.39,14.09,50,4,0,default
65536,16.45,8.85,21.16,50,4,0,default
131072,27.08,10.1,40.64,50,4,0,default
262144,46.31,21.0,60.56,50,4,0,default
524288,85.3,43.48,105.24,50,4,0,default
1048576,189.32,77.64,254.55,50,4,0,default
1,2.27,0.77,3.75,50,8,0,default
2,2.1,0.63,3.59,50,8,0,default
4,2.15,0.61,3.71,50,8,0,default
8,2.14,0.15,4.09,50,8,0,default
16,2.12,0.15,4.06,50,8,0,default
32,2.26,0.16,4.31,50,8,0,default
64,2.67,0.62,4.76,50,8,0,default
128,4.72,2.08,7.14,50,8,0,default
256,3.26,1.36,5.24,50,8,0,default
512,3.24,1.62,4.95,50,8,0,default
1024,4.04,2.14,6.07,50,8,0,default
2048,4.41,1.82,6.86,50,8,0,default
4096,7.73,2.97,12.11,50,8,0,default
8192,6.38,1.29,11.43,50,8,0,default
16384,11.85,5.48,19.88,50,8,0,default
32768,13.82,6.92,23.85,50,8,0,default
65536,20.03,7.93,39.8,50,8,0,default
131072,32.8,13.8,59.87,50,8,0,default
262144,61.29,35.76,107.95,50,8,0,default
524288,120.72,81.71,193.79,50,8,0,default
1048576,238.15,158.47,374.48,50,8,0,default
