Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,1.71,0.13,3.3,50,2,0,default
2,2.23,0.1,4.36,50,2,0,default
4,1.7,0.1,3.31,50,2,0,default
8,1.7,0.1,3.3,50,2,0,default
16,1.69,0.1,3.28,50,2,0,default
32,1.91,0.1,3.72,50,2,0,default
64,2.22,0.1,4.34,50,2,0,default
128,2.26,0.11,4.41,50,2,0,default
256,2.56,0.14,4.97,50,2,0,default
512,2.61,0.16,5.06,50,2,0,default
1024,2.77,0.21,5.32,50,2,0,default
2048,3.11,0.21,6.01,50,2,0,default
4096,3.51,0.25,6.77,50,2,0,default
8192,4.36,0.58,8.14,50,2,0,default
16384,5.23,1.11,9.35,50,2,0,default
32768,7.61,2.48,12.74,50,2,0,default
65536,11.26,4.95,17.57,50,2,0,default
131072,24.56,22.87,26.26,50,2,0,default
262144,40.72,38.98,42.47,50,2,0,default
524288,76.48,74.9,78.06,50,2,0,default
1048576,130.32,128.82,131.82,50,2,0,default
1,1.29,1.13,1.44,50,4,0,default
2,1.05,0.81,1.31,50,4,0,default
4,1.04,0.79,1.31,50,4,0,default
8,1.05,0.81,1.31,50,4,0,default
16,1.12,0.93,1.31,50,4,0,default
32,1.56,1.06,2.05,50,4,0,default
64,1.52,1.07,1.96,50,4,0,default
128,3.04,1.74,4.18,50,4,0,default
256,1.9,1.2,2.52,50,4,0,default
512,2.18,1.26,2.98,50,4,0,default
1024,2.81,1.25,4.18,50,4,0,default
2048,2.43,1.16,3.7,50,4,0,default
4096,5.91,1.8,10.2,50,4,0,default
8192,4.17,1.81,6.72,50,4,0,default
16384,6.05,3.12,8.8,50,4,0,default
32768,11.83,7.69,14.48,50,4,0,default
65536,17.65,9.8,22.22,50,4,0,default
131072,32.92,16.19,42.27,50,4,0,default
262144,54.55,28.53,67.35,50,4,0,default
524288,104.5,63.4,121.6,50,4,0,default
1048576,232.39,116.56,304.28,50,4,0,default
1,2.74,0.67,5.09,50,8,0,default
2,2.6,0.66,4.61,50,8,0,default
4,2.57,0.57,4.58,50,8,0,default
8,2.56,0.57,4.58,50,8,0,default
16,2.67,0.59,4.81,50,8,0,default
32,2.66,0.59,4.81,50,8,0,default
64,5.03,2.22,7.88,50,8,0,default
128,5.18,2.25,8.04,50,8,0,default
256,4.15,1.61,6.71,50,8,0,default
512,4.25,1.15,7.33,50,8,0,default
1024,5.39,1.6,8.93,50,8,0,default
2048,7.95,2.66,12.95,50,8,0,default
4096,8.86,3.08,14.57,50,8,0,default
8192,10.41,3.69,16.87,50,8,0,default
16384,10.43,6.29,15.5,50,8,0,default
32768,14.42,8.06,24.22,50,8,0,default
65536,21.35,10.56,43.12,50,8,0,default
131072,37.85,22.32,65.26,50,8,0,default
262144,71.96,50.31,117.1,50,8,0,default
524288,138.06,105.99,203.65,50,8,0,default
1048576,434.61,126.46,680.88,50,8,0,default
1,1.7,0.1,3.29,50,2,1,basic linear
2,1.69,0.1,3.28,50,2,1,basic linear
4,1.79,0.1,3.48,50,2,1,basic linear
8,1.69,0.11,3.28,50,2,1,basic linear
16,1.7,0.1,3.3,50,2,1,basic linear
32,1.83,0.1,3.56,50,2,1,basic linear
64,2.82,0.1,5.53,50,2,1,basic linear
128,2.27,0.11,4.43,50,2,1,basic linear
256,2.57,0.14,5.01,50,2,1,basic linear
512,27.1,24.61,29.59,50,2,1,basic linear
1024,2.77,0.21,5.34,50,2,1,basic linear
2048,3.22,0.21,6.24,50,2,1,basic linear
4096,3.53,0.26,6.8,50,2,1,basic linear
8192,4.18,0.41,7.94,50,2,1,basic linear
16384,5.27,1.1,9.43,50,2,1,basic linear
32768,7.56,2.34,12.78,50,2,1,basic linear
65536,11.41,4.97,17.85,50,2,1,basic linear
131072,19.93,10.93,28.92,50,2,1,basic linear
262144,41.16,39.62,42.7,50,2,1,basic linear
524288,72.18,70.64,73.73,50,2,1,basic linear
1048576,133.89,132.38,135.39,50,2,1,basic linear
1,0.88,0.87,0.91,50,4,1,basic linear
2,0.9,0.88,0.91,50,4,1,basic linear
4,0.88,0.87,0.9,50,4,1,basic linear
8,0.89,0.88,0.9,50,4,1,basic linear
16,0.87,0.85,0.89,50,4,1,basic linear
32,0.94,0.89,1.0,50,4,1,basic linear
64,1.33,0.88,1.79,50,4,1,basic linear
128,1.89,1.43,2.36,50,4,1,basic linear
256,2.14,1.11,3.29,50,4,1,basic linear
512,2.05,1.01,3.21,50,4,1,basic linear
1024,2.3,1.16,3.6,50,4,1,basic linear
2048,2.55,1.3,3.78,50,4,1,basic linear
4096,3.51,1.76,5.22,50,4,1,basic linear
8192,4.16,1.83,6.69,50,4,1,basic linear
16384,6.11,3.14,8.86,50,4,1,basic linear
32768,9.5,3.04,14.98,50,4,1,basic linear
65536,15.92,5.99,25.16,50,4,1,basic linear
131072,29.77,13.63,48.06,50,4,1,basic linear
262144,65.26,26.93,90.03,50,4,1,basic linear
524288,122.59,60.01,162.72,50,4,1,basic linear
1048576,232.87,115.06,305.42,50,4,1,basic linear
1,2.66,0.63,5.08,50,8,1,basic linear
2,2.71,0.65,5.27,50,8,1,basic linear
4,2.66,0.65,5.15,50,8,1,basic linear
8,2.7,0.64,5.23,50,8,1,basic linear
16,2.65,0.65,5.12,50,8,1,basic linear
32,2.71,0.6,5.34,50,8,1,basic linear
64,3.04,0.36,6.52,50,8,1,basic linear
128,6.04,1.87,9.82,50,8,1,basic linear
256,4.12,0.66,7.61,50,8,1,basic linear
512,4.07,0.64,7.48,50,8,1,basic linear
1024,4.83,0.84,8.63,50,8,1,basic linear
2048,5.64,1.31,9.47,50,8,1,basic linear
4096,7.82,2.31,12.45,50,8,1,basic linear
8192,6.81,1.44,12.5,50,8,1,basic linear
16384,9.85,1.92,17.6,50,8,1,basic linear
32768,16.45,3.54,29.53,50,8,1,basic linear
65536,28.27,7.28,49.41,50,8,1,basic linear
131072,48.25,12.6,82.19,50,8,1,basic linear
262144,120.6,31.36,197.8,50,8,1,basic linear
524288,228.3,65.49,362.81,50,8,1,basic linear
1048576,436.27,128.25,682.46,50,8,1,basic linear
1,1.73,0.11,3.35,50,2,2,binomial
2,1.8,0.11,3.5,50,2,2,binomial
4,1.7,0.11,3.3,50,2,2,binomial
8,1.7,0.11,3.3,50,2,2,binomial
16,1.71,0.11,3.3,50,2,2,binomial
32,2.34,0.11,4.57,50,2,2,binomial
64,2.23,0.11,4.35,50,2,2,binomial
128,2.29,0.12,4.45,50,2,2,binomial
256,27.86,25.6,30.12,50,2,2,binomial
512,2.8,0.56,5.04,50,2,2,binomial
1024,3.15,0.61,5.69,50,2,2,binomial
2048,3.06,0.22,5.9,50,2,2,binomial
4096,3.53,0.28,6.79,50,2,2,binomial
8192,4.39,0.59,8.2,50,2,2,binomial
16384,5.26,1.13,9.4,50,2,2,binomial
32768,7.43,2.34,12.53,50,2,2,binomial
65536,11.18,4.84,17.52,50,2,2,binomial
131072,19.64,10.91,28.38,50,2,2,binomial
262144,40.81,39.3,42.33,50,2,2,binomial
524288,72.25,70.71,73.79,50,2,2,binomial
1048576,130.57,129.06,132.07,50,2,2,binomial
1,1.16,0.95,1.38,50,4,2,binomial
2,1.04,0.8,1.3,50,4,2,binomial
4,1.04,0.8,1.3,50,4,2,binomial
8,1.04,0.8,1.3,50,4,2,binomial
16,1.09,0.89,1.31,50,4,2,binomial
32,1.51,1.06,1.94,50,4,2,binomial
64,1.53,1.06,1.92,50,4,2,binomial
128,3.17,1.85,4.32,50,4,2,binomial
256,1.9,1.21,2.48,50,4,2,binomial
512,2.15,1.25,2.93,50,4,2,binomial
1024,2.83,1.26,4.21,50,4,2,binomial
2048,3.71,1.3,6.04,50,4,2,binomial
4096,4.86,1.77,8.01,50,4,2,binomial
8192,5.06,2.52,7.53,50,4,2,binomial
16384,8.25,4.65,11.71,50,4,2,binomial
32768,12.34,6.6,17.96,50,4,2,binomial
65536,22.16,13.75,30.44,50,4,2,binomial
131072,51.82,47.52,55.98,50,4,2,binomial
262144,96.63,83.74,109.95,50,4,2,binomial
524288,181.26,158.04,204.74,50,4,2,binomial
1048576,339.21,298.98,379.68,50,4,2,binomial
1,2.11,0.58,3.65,50,8,2,binomial
2,2.13,0.55,3.69,50,8,2,binomial
4,2.09,0.56,3.62,50,8,2,binomial
8,2.19,0.55,3.81,50,8,2,binomial
16,2.35,0.56,4.12,50,8,2,binomial
32,2.38,0.56,4.18,50,8,2,binomial
64,4.15,2.0,6.51,50,8,2,binomial
128,4.15,2.31,5.99,50,8,2,binomial
256,3.43,1.53,5.45,50,8,2,binomial
512,3.8,1.21,6.39,50,8,2,binomial
1024,4.95,1.9,8.03,50,8,2,binomial
2048,6.54,2.67,10.49,50,8,2,binomial
4096,7.83,3.3,12.37,50,8,2,binomial
8192,9.24,3.73,14.7,50,8,2,binomial
16384,13.61,6.78,20.45,50,8,2,binomial
32768,22.49,13.58,31.63,50,8,2,binomial
65536,61.09,55.48,65.6,50,8,2,binomial
131072,103.3,98.8,105.96,50,8,2,binomial
262144,189.54,178.43,199.77,50,8,2,binomial
524288,377.65,360.65,393.51,50,8,2,binomial
1048576,779.1,741.1,815.23,50,8,2,binomial
1,1.72,0.13,3.31,50,2,3,non-blocking linear
2,1.72,0.13,3.3,50,2,3,non-blocking linear
4,2.26,0.14,4.38,50,2,3,non-blocking linear
8,1.74,0.13,3.35,50,2,3,non-blocking linear
16,1.73,0.13,3.33,50,2,3,non-blocking linear
32,1.86,0.13,3.59,50,2,3,non-blocking linear
64,1.88,0.27,3.5,50,2,3,non-blocking linear
128,1.78,0.14,3.42,50,2,3,non-blocking linear
256,2.39,0.56,4.22,50,2,3,non-blocking linear
512,2.45,0.58,4.31,50,2,3,non-blocking linear
1024,2.66,0.78,4.54,50,2,3,non-blocking linear
2048,3.63,3.24,4.02,50,2,3,non-blocking linear
4096,4.43,4.29,4.56,50,2,3,non-blocking linear
8192,5.42,5.25,5.59,50,2,3,non-blocking linear
16384,7.58,7.4,7.75,50,2,3,non-blocking linear
32768,10.96,10.16,11.75,50,2,3,non-blocking linear
65536,16.33,14.65,18.0,50,2,3,non-blocking linear
131072,23.67,21.98,25.35,50,2,3,non-blocking linear
262144,42.74,41.2,44.29,50,2,3,non-blocking linear
524288,71.96,70.44,73.47,50,2,3,non-blocking linear
1048576,131.2,129.58,132.82,50,2,3,non-blocking linear
1,0.97,0.95,0.99,50,4,3,non-blocking linear
2,0.9,0.88,0.91,50,4,3,non-blocking linear
4,0.88,0.86,0.91,50,4,3,non-blocking linear
8,0.92,0.89,0.98,50,4,3,non-blocking linear
16,0.89,0.88,0.91,50,4,3,non-blocking linear
32,0.96,0.91,1.01,50,4,3,non-blocking linear
64,1.35,0.9,1.85,50,4,3,non-blocking linear
128,1.94,1.49,2.41,50,4,3,non-blocking linear
256,2.07,1.02,3.21,50,4,3,non-blocking linear
512,2.03,0.99,3.17,50,4,3,non-blocking linear
1024,2.39,1.21,3.76,50,4,3,non-blocking linear
2048,2.44,1.26,3.63,50,4,3,non-blocking linear
4096,3.24,1.62,4.86,50,4,3,non-blocking linear
8192,5.46,1.78,7.66,50,4,3,non-blocking linear
16384,7.06,5.39,8.75,50,4,3,non-blocking linear
32768,11.57,7.54,14.38,50,4,3,non-blocking linear
65536,17.44,9.34,21.9,50,4,3,non-blocking linear
131072,27.11,12.61,38.79,50,4,3,non-blocking linear
262144,55.09,31.17,66.03,50,4,3,non-blocking linear
524288,103.85,63.1,120.6,50,4,3,non-blocking linear
1048576,199.81,125.43,227.52,50,4,3,non-blocking linear
1,2.64,0.46,4.78,50,8,3,non-blocking linear
2,2.35,0.28,4.59,50,8,3,non-blocking linear
4,2.33,0.28,4.62,50,8,3,non-blocking linear
8,2.33,0.28,4.63,50,8,3,non-blocking linear
16,2.33,0.28,4.6,50,8,3,non-blocking linear
32,2.48,0.34,4.89,50,8,3,non-blocking linear
64,2.79,0.22,6.02,50,8,3,non-blocking linear
128,5.85,1.6,9.56,50,8,3,non-blocking linear
256,4.0,0.52,7.9,50,8,3,non-blocking linear
512,4.01,0.54,7.93,50,8,3,non-blocking linear
1024,4.88,0.77,8.83,50,8,3,non-blocking linear
2048,5.46,1.15,9.29,50,8,3,non-blocking linear
4096,7.83,2.26,12.46,50,8,3,non-blocking linear
